,0,1,2,3,4,5,6,7,8,9,10,12,13,14,16,18,22,23,24,25,26,29,38,66,80,81,82,84,91,95,101,107,108,118,130,135,147,148,150,151,152,157,160,163,164,168,169,170,171,172,173,174,175,177,178,183,184,185,186,187,188,190,194,195,196,197,198,199,200,201,202,203,205,206,207,209,211,213,214,216,217,219,223,230,231,232,233,234,235,236,238,239,242,243,244,245,246,249,250,251,253,254,255,256,257,259,268,270,271,275,276,277,280,282,283,285,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,308,309,310,311,321,322,324,325,326,328,329,331,337,339,340,343,344,345,346,347,348,349,351,352,353,355,358,359,361,362,364,365,369,370,371,377,378,380,381,384,385,386,388,390,391,392,393,394,395,403,404,407,409,411,413,417,419,421,423,426,427,428,429,431,439,490,491,493,527,528,531,551,553,554,559,561,566,574,601,604,605,628,630,636,641,644,646,649,651,655,657,661,666,669,675,676,682,683,684,685,693,697,700,701,702,703,704
sampleID,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g,hsa-let-7i,hsa-mir-1-2,hsa-mir-100,hsa-mir-101-1,hsa-mir-103-1,hsa-mir-103-2,hsa-mir-106a,hsa-mir-106b,hsa-mir-107,hsa-mir-10a,hsa-mir-10b,hsa-mir-1180,hsa-mir-1201,hsa-mir-1247,hsa-mir-1259,hsa-mir-125a,hsa-mir-125b-1,hsa-mir-126,hsa-mir-1266,hsa-mir-127,hsa-mir-1274b,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-1287,hsa-mir-1296,hsa-mir-1301,hsa-mir-1306,hsa-mir-1307,hsa-mir-130a,hsa-mir-130b,hsa-mir-132,hsa-mir-133a-1,hsa-mir-134,hsa-mir-135b,hsa-mir-136,hsa-mir-139,hsa-mir-140,hsa-mir-141,hsa-mir-142,hsa-mir-143,hsa-mir-144,hsa-mir-145,hsa-mir-1468,hsa-mir-146a,hsa-mir-146b,hsa-mir-148a,hsa-mir-148b,hsa-mir-149,hsa-mir-150,hsa-mir-151,hsa-mir-152,hsa-mir-153-2,hsa-mir-154,hsa-mir-155,hsa-mir-15a,hsa-mir-15b,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-17,hsa-mir-181a-1,hsa-mir-181a-2,hsa-mir-181b-1,hsa-mir-181c,hsa-mir-181d,hsa-mir-182,hsa-mir-1826,hsa-mir-183,hsa-mir-185,hsa-mir-186,hsa-mir-188,hsa-mir-18a,hsa-mir-190,hsa-mir-191,hsa-mir-192,hsa-mir-193a,hsa-mir-193b,hsa-mir-194-1,hsa-mir-194-2,hsa-mir-195,hsa-mir-196a-1,hsa-mir-196b,hsa-mir-197,hsa-mir-1974,hsa-mir-1975,hsa-mir-1976,hsa-mir-1977,hsa-mir-1978,hsa-mir-199a-1,hsa-mir-199a-2,hsa-mir-199b,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-200a,hsa-mir-200b,hsa-mir-200c,hsa-mir-203,hsa-mir-20a,hsa-mir-21,hsa-mir-210,hsa-mir-212,hsa-mir-214,hsa-mir-215,hsa-mir-217,hsa-mir-218-2,hsa-mir-219-1,hsa-mir-22,hsa-mir-221,hsa-mir-222,hsa-mir-223,hsa-mir-224,hsa-mir-23a,hsa-mir-23b,hsa-mir-24-1,hsa-mir-24-2,hsa-mir-25,hsa-mir-26a-1,hsa-mir-26a-2,hsa-mir-26b,hsa-mir-27a,hsa-mir-27b,hsa-mir-28,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-30a,hsa-mir-30b,hsa-mir-30c-2,hsa-mir-30d,hsa-mir-30e,hsa-mir-32,hsa-mir-320a,hsa-mir-320b-2,hsa-mir-324,hsa-mir-326,hsa-mir-328,hsa-mir-330,hsa-mir-331,hsa-mir-335,hsa-mir-337,hsa-mir-338,hsa-mir-339,hsa-mir-33a,hsa-mir-340,hsa-mir-342,hsa-mir-345,hsa-mir-34a,hsa-mir-361,hsa-mir-362,hsa-mir-365-1,hsa-mir-365-2,hsa-mir-369,hsa-mir-370,hsa-mir-374a,hsa-mir-374b,hsa-mir-375,hsa-mir-378,hsa-mir-379,hsa-mir-381,hsa-mir-382,hsa-mir-409,hsa-mir-410,hsa-mir-411,hsa-mir-421,hsa-mir-423,hsa-mir-424,hsa-mir-425,hsa-mir-429,hsa-mir-431,hsa-mir-432,hsa-mir-451,hsa-mir-452,hsa-mir-455,hsa-mir-484,hsa-mir-486,hsa-mir-487b,hsa-mir-491,hsa-mir-493,hsa-mir-495,hsa-mir-497,hsa-mir-500,hsa-mir-501,hsa-mir-502,hsa-mir-503,hsa-mir-505,hsa-mir-511-1,hsa-mir-532,hsa-mir-539,hsa-mir-542,hsa-mir-550-1,hsa-mir-550-2,hsa-mir-552,hsa-mir-574,hsa-mir-576,hsa-mir-577,hsa-mir-582,hsa-mir-584,hsa-mir-589,hsa-mir-598,hsa-mir-625,hsa-mir-628,hsa-mir-629,hsa-mir-652,hsa-mir-654,hsa-mir-660,hsa-mir-664,hsa-mir-671,hsa-mir-7-1,hsa-mir-708,hsa-mir-744,hsa-mir-766,hsa-mir-769,hsa-mir-874,hsa-mir-886,hsa-mir-889,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-92b,hsa-mir-93,hsa-mir-940,hsa-mir-942,hsa-mir-95,hsa-mir-96,hsa-mir-98,hsa-mir-99a,hsa-mir-99b
TCGA.A6.2675.01,3927.285375,7771.214929,3935.609708,5631.861318,437.927417,224.082048,423.866043,9.11177,10760.77543,374.932463,413.066908,30.035094,2473.001882,9759.380652,12102.23046,4.162167,6.974441,456.938394,1897.273005,38043.88971,27855.35594,5.962022,4.387149,356.37145,6.636968,183.697784,192.809554,876.192306,6.86195,1122.885043,3.937185,52.645782,43.983976,10.574153,2.362311,3.487221,2.024838,667.971487,16.423684,13.723901,70.756831,6.86195,291.576641,35.547152,22.72318,20.923324,728.379148,1336.955393,790.474173,304054.9289,35.659643,1315.01965,3.937185,84.25575,468.412474,21488.02854,229.594107,7.649387,167.724063,2787.526684,322.624154,26.435382,3.937185,302.600758,70.081886,108.328822,290.226749,3.712203,775.512872,630.849461,227.231796,119.690411,71.319286,16.198702,11247.74892,78.631201,4422.358214,41.059211,135.551641,7.874369,12.711482,5.624549,392.143584,49926.53776,85.155678,16.198702,8779.584146,9001.753847,39.034373,110.691132,1434.822553,98.767088,32.172423,170.648829,7.086932,6.299495,8.436824,732.878787,1285.884485,1689.50215,8.436824,83.580804,1776.907647,1662.054349,8055.704637,12005.82568,272.903137,260676.1541,114.740808,6.187004,14.961301,1962.067814,24.298053,29.247657,1.574874,44973.22208,185.385148,37.909463,277.515268,60.857625,2293.691247,728.266657,8.436824,2820.486544,7941.976248,1.462383,1982.316192,496.872694,1584.77304,1231.213864,3971.831807,9629.903524,205.858508,207.658364,1077.213702,5493.384911,217.332589,163.336915,3789.033951,8585.312209,20.248378,210.58313,25.422963,19.685923,22.948162,10.011698,35.547152,13.161446,198.996558,20.023396,244.217935,17.773576,23.735598,23.285635,50.170981,7.874369,85.155678,378.532175,16.536175,15.073792,17.773576,9.449243,6.411986,2348.136885,69.181958,19564.09517,302.713249,884.741621,88.192935,16.086211,23.173144,14.84881,6.636968,5.174585,70.756831,86.055606,197.871648,270.540826,8.211842,4.837112,113.278425,147.475685,71.76925,30.597549,38.134445,3.037257,1.799856,10.124189,4.162167,13.498919,186.847531,28.46022,8.661806,3.824694,22.72318,4.162167,913.201841,5.174585,152.987744,2.474802,2.362311,193.484499,23.96058,2.812275,1.912347,146.463266,190.447243,27.33531,9.786716,321.274262,4.724621,64.682318,41.059211,23.96058,46.346287,17.436103,4.949603,23.848089,59.957697,13.723901,2.924766,18.448522,17.211121,93.704993,17.211121,723.767017,716.230121,137.014023,16604.1198,31.497477,3308.697432,2.699784,5.062094,15.073792,13.386428,53.883183,152.425289,7973.136252
TCGA.A6.4105.01,6080.14772,12029.32711,6056.192231,8800.232211,232.735437,396.052415,494.67209,10.491455,15337.45764,506.037832,459.001144,14.338321,1882.341833,5481.260513,8066.879527,3.322294,14.338321,648.197044,1407.428649,157715.4158,60864.9505,22.38177,8.218306,49.13498,133.241475,197.938779,149.153514,1398.161198,28.676643,1025.889413,2.098291,164.540981,139.886063,13.638891,2.972579,7.518876,5.420585,1881.467545,20.108622,26.228637,148.279227,1.049145,363.703763,24.130346,23.955488,20.108622,613.225528,2219.117529,2033.41878,107665.0568,86.029929,486.278926,6.46973,169.611851,479.109765,79206.28648,243.926322,2.622864,334.677405,3313.376255,196.714776,27.627497,3.672009,370.523209,100.193392,135.164908,398.500421,4.546297,1255.652271,1064.532938,659.562786,335.201978,153.699812,55.080137,14806.41518,3212.133717,7168.111573,59.276719,179.753591,7.344018,12.24003,3.497152,422.45591,68243.24088,128.170605,13.289176,7829.947508,8305.385264,21.68234,422.45591,4981.867269,147.055224,1062.95922,938.810339,6.120015,24.130346,44.413825,897.369093,1598.02341,2231.357559,17.485758,54.205849,1364.238827,834.070649,9407.862296,5280.698871,480.333768,219138.162,688.064571,10.84117,11.016027,816.934607,23.605773,11.016027,4.021724,43135.09147,251.27034,100.717965,140.585493,83.05735,3208.636566,784.061382,10.491455,1425.089265,8905.321616,1.224003,1298.842093,367.375772,1202.495567,969.235558,3595.946102,5526.024053,232.385722,211.402812,579.1283,3370.03011,54.205849,79.560198,2261.782778,6912.294936,27.102925,210.87824,27.977213,22.206912,9.792024,14.163464,32.173794,27.977213,269.105813,18.534903,211.227955,10.666312,28.501785,16.086897,48.260692,15.562324,57.003571,376.818082,11.016027,7.169161,8.218306,8.917737,11.365743,1603.443995,56.478998,10679.42661,166.988987,884.254774,78.68591,24.654919,27.102925,13.638891,4.021724,5.07087,119.252869,207.381088,164.016409,101.941968,14.513179,10.491455,201.785646,116.804862,397.276418,28.15207,152.475808,4.021724,1.748576,15.91204,7.169161,7.344018,276.449832,59.101862,9.792024,18.010331,33.747513,3.322294,1686.151629,16.786328,188.671327,4.196582,6.819446,298.132171,12.764603,6.644588,22.731485,163.142121,153.175239,39.168098,21.507482,445.53711,6.120015,215.074822,41.441246,16.261755,33.92237,5.07087,6.46973,68.369313,41.790961,27.802355,4.021724,38.468667,19.234334,198.987924,25.529206,62.948728,62.948728,102.641399,22741.45209,42.140676,5171.937457,2.972579,18.185188,4.896012,16.786328,51.932701,60.500722,10846.41559
TCGA.A6.5656.01,3885.279803,7685.80009,3823.819111,11476.27778,610.991582,1288.666006,982.969363,14.461339,4782.686242,366.353927,433.438473,30.12779,6496.756643,1334.460247,21703.65824,11.649412,33.743125,1250.905842,2903.113848,64293.50734,71522.57013,36.956756,71.904992,1135.215128,486.865087,946.012607,1121.958901,919.500152,19.281786,1454.569703,22.093713,89.579962,83.1527,17.273266,22.093713,19.683489,36.153348,3790.47769,44.187425,58.648765,154.254285,134.570795,353.901107,27.315863,4.017039,119.707752,1183.419593,320.157982,177.954813,294830.955,18.076674,19996.4168,22.093713,96.810632,306.098347,19352.88721,161.484955,52.221503,598.137058,7633.980291,147.425319,2.410223,0.401704,221.338831,46.597649,289.628488,293.645527,4.017039,1120.753789,1085.805553,621.435882,170.724144,90.38337,19.683489,11806.07666,12953.3429,8246.578688,46.597649,359.926665,13.657931,41.777202,0.803408,1496.346905,14197.01807,445.489589,161.886658,2972.608617,3556.68604,31.734606,128.545237,6393.920453,1075.361252,2942.079123,3730.623814,27.315863,34.546533,161.886658,499.317907,720.656738,786.536172,4.820446,71.904992,1622.080215,2944.087642,20142.63701,6170.573103,219.330311,47103.79546,261.910921,8.034077,77.528846,70.298177,19.683489,11.247708,6.025558,32372.51124,319.756278,123.724791,230.979724,173.937774,5206.483822,1815.701479,35.751644,4449.272032,11851.46919,2.410223,1838.5986,316.542647,1091.027703,1012.293745,13810.98066,10800.61188,117.699233,124.929903,409.336241,3592.839388,658.794342,626.658033,15081.16828,4865.035535,7.632373,914.679705,99.622559,106.451525,109.263452,60.657284,69.494769,84.759516,139.792946,18.880082,34.948236,108.460044,24.90564,7.632373,279.987595,50.614687,122.519679,1226.401906,59.853876,35.751644,33.341421,13.657931,9.239189,114.485602,118.904345,29434.04746,1114.728231,358.319849,38.161867,12.051116,25.307344,9.640893,2.811927,22.093713,569.21438,114.083898,709.810733,188.399114,21.290305,7.632373,288.82508,104.844709,396.080013,102.032782,341.849991,5.623854,8.837485,11.247708,2.008519,25.307344,702.580064,172.330959,32.538013,14.059635,135.775907,2.811927,2774.166906,2.410223,45.392537,13.657931,17.67497,429.421434,214.108161,4.418743,21.290305,78.332254,335.021025,72.7084,3.213631,314.534128,1.606815,106.049821,149.835542,26.512455,26.914159,38.161867,16.469859,23.298824,24.102232,81.144181,22.495417,47.401056,14.461339,249.859805,5.623854,44.990833,34.546533,706.195398,81580.02986,245.441063,6212.350305,20.888601,6.427262,42.178906,5.623854,26.110751,367.960742,38252.65245
TCGA.A6.5657.01,5826.614916,11685.91704,5822.230046,8373.108088,1107.777547,255.358869,903.761517,9.088639,13031.75315,352.543527,523.792622,151.317869,3730.966078,5193.0411,10988.16468,1.355323,6.218543,326.473484,1189.415849,35128.38739,23776.91632,10.045338,1.993123,31.571062,2.232297,240.928661,297.852243,629.268671,4.464595,624.166277,0.478349,40.579976,35.557307,7.97249,2.870097,2.152572,5.979368,673.037643,13.473509,14.031583,65.693321,39.463828,175.873139,14.430208,6.776617,66.65002,955.821879,174.836715,736.100043,584853.5278,70.87544,3037.678309,5.819918,100.852004,273.137523,10670.46093,141.033356,5.182119,1064.008575,2064.4764,191.65867,7.334691,1.435048,262.294936,48.552467,70.87544,149.324746,2.551197,382.838991,545.637246,292.590399,143.026479,50.465865,26.468668,9636.907273,60.989552,6319.07565,45.84182,80.043804,2.870097,9.248089,1.913398,139.837482,5333.038032,116.39836,14.669382,1264.277535,1358.990721,37.55043,120.703505,407.553711,76.376458,52.538712,96.22796,5.421294,1.993123,16.503055,564.691498,936.129828,1210.303774,3.029546,38.826028,767.033306,685.634178,2536.447835,5709.578756,147.889698,124828.8705,23.439122,3.507896,16.42333,346.962784,74.542786,38.507129,1.116149,33014.641,126.284249,30.773813,312.282451,45.84182,1513.657036,615.396537,7.254966,2008.828417,5359.98505,0.239175,1175.384266,251.771248,609.975244,752.682823,4382.876621,3530.298493,86.501521,88.016294,875.5389,7077.977016,114.484963,160.406508,3078.33801,5513.614941,10.523687,223.867532,18.257003,15.227457,14.509933,8.849464,26.309218,9.885888,89.770242,12.83571,180.975533,8.690015,1.833673,13.393784,79.16683,2.152572,29.817114,250.575375,11.799286,13.074884,13.473509,5.660468,6.457717,959.887849,43.848697,1044.874598,128.675996,526.423544,27.903717,11.241212,12.596535,7.653591,3.747071,6.696892,66.33112,28.063166,76.456183,110.977067,7.334691,6.377992,162.001006,162.39963,40.659701,24.316096,89.212168,1.913398,0.956699,7.653591,1.753948,16.104431,306.223358,73.107737,6.059093,1.594498,27.106468,1.275598,901.05087,3.428171,91.763365,1.275598,1.674223,87.139321,20.090676,1.195874,6.218543,153.869066,154.58659,20.569025,8.690015,139.678033,4.703769,66.091946,26.628118,9.646713,31.810237,8.929189,3.268721,14.430208,23.678297,11.241212,5.102394,15.386907,8.371115,117.992859,10.125063,161.921281,159.609259,82.595001,8000.154985,43.928422,3126.651302,2.232297,2.949821,3.747071,6.696892,61.149002,182.410581,9365.284524
TCGA.A6.5659.01,4447.606677,8810.032162,4402.623351,7317.542846,866.551127,299.761225,449.259,7.273899,8793.570179,363.886391,332.493772,136.481324,4021.700722,5971.488611,20592.79218,3.445531,9.188084,369.054688,2295.872368,85784.54174,74757.11876,7.848155,4.976879,26.224322,13.016452,193.141172,343.978877,722.03023,25.075811,443.133611,1.531347,52.640062,50.343041,10.719431,4.019787,3.254113,5.168297,837.455529,17.036238,20.098933,57.042685,37.135171,153.134725,59.148288,8.613828,22.587372,732.941079,611.964646,293.635836,302315.3205,56.085593,2690.959959,14.164962,54.171409,253.055133,35059.81251,219.174076,6.891063,117.530902,2810.596464,173.233658,9.953757,0.957092,112.362605,84.989773,153.517562,202.712093,5.359715,1053.758328,473.569138,361.972207,159.451533,58.191196,39.240773,43446.04432,97.431969,15748.75798,34.83815,140.118274,3.828368,13.973544,3.63695,294.018672,24580.61184,119.636504,27.755669,5912.531742,6240.814309,19.333259,401.787235,3259.472627,127.867496,203.477766,280.810802,3.445531,14.35638,7.848155,425.331699,674.749883,802.234542,6.316807,126.718985,1083.045344,1453.631379,10083.15598,7715.501713,417.866382,142949.3518,206.923297,2.297021,6.891063,159.834369,47.088928,24.884393,3.828368,30149.93038,186.441528,52.448643,70.059137,148.92352,1885.662723,667.284565,6.316807,2082.632263,9572.834512,0.765674,1119.032005,423.417515,696.380163,767.58781,6219.375448,6228.180694,171.128055,179.359047,481.225874,6078.4915,84.03268,160.791462,3832.962173,7979.276278,9.953757,287.12761,17.419075,15.122054,17.610493,17.227657,26.41574,11.676523,291.530233,12.442196,54.362827,18.950422,9.953757,10.145176,34.646732,5.551134,77.524455,630.72365,34.072476,28.521343,28.138506,4.019787,2.105602,2994.740971,101.643174,16306.16838,218.025565,484.671405,31.392619,8.230991,8.230991,8.039573,3.63695,7.465318,111.979768,61.445309,126.910404,143.946642,6.125389,2.679858,107.577144,211.517339,53.788572,31.392619,65.847932,2.488439,2.105602,9.57092,3.828368,15.887728,599.713868,93.029346,12.633615,4.594042,52.448643,2.679858,1935.622927,3.828368,131.313027,4.78546,5.359715,316.031789,19.907514,6.891063,66.230769,120.593596,196.203867,40.197865,5.551134,250.183857,4.78546,111.405513,49.768786,9.762339,51.300133,17.99333,8.230991,28.521343,23.161627,15.313473,2.679858,23.735882,15.313473,256.500665,6.891063,103.748776,111.788349,399.681633,29651.85969,32.158292,4445.501074,6.125389,8.996665,8.996665,35.029568,74.270342,180.124721,9065.575735
TCGA.A6.5660.01,6792.387532,13569.23244,6890.435611,11051.58572,414.340561,381.57152,444.648686,15.283584,15326.58559,539.58824,453.326653,12.434102,3081.455546,7094.950692,18250.80155,0.906653,8.677967,504.746848,2103.824238,118097.9398,29189.83274,14.376931,2.979004,24.868205,9.325577,184.180143,221.352929,654.215122,14.117887,809.511881,1.813307,71.107524,59.580074,23.572986,1.683785,8.289402,6.087529,1476.938237,15.283584,27.588165,76.676965,8.677967,278.731131,39.763224,11.268405,12.045537,702.008703,1051.588314,442.058248,162497.3998,18.003544,910.668486,6.217051,173.818391,326.913278,34913.40554,261.504718,9.196055,151.152058,5831.723592,219.4101,9.843664,3.885657,173.300304,148.56162,174.854566,375.483991,3.626613,1742.458134,1648.8138,452.808566,560.182222,146.48927,119.678237,31569.92719,139.624609,17459.68178,46.627884,146.359748,7.382748,23.054898,5.051354,509.539158,48694.40629,192.469545,13.729322,11557.62779,12181.14622,15.024541,444.519164,6601.213206,101.54517,321.991446,303.987902,9.196055,18.780676,13.729322,541.401546,851.736021,1060.395803,9.714143,131.076164,2203.297058,2491.483287,13214.47195,18621.10466,642.687673,189876.5164,256.971452,5.43992,13.470278,274.58643,74.734137,13.858843,2.849482,37295.3133,188.583888,44.037446,196.87329,113.849751,2872.018633,872.459525,9.066533,3090.910645,11119.97329,0.64761,1725.361243,449.70004,1069.72138,1209.086946,4971.309604,8642.996453,191.562892,184.439187,330.021804,4171.641387,284.689138,173.818391,9253.174128,8025.176985,24.220595,193.635242,14.117887,38.468005,15.283584,15.413106,50.124976,14.506453,429.365102,16.190238,138.32939,17.7445,18.651154,21.759679,27.588165,11.268405,49.477366,478.32438,32.380475,10.23223,11.009362,9.455099,8.548445,1532.891698,56.342027,21201.05141,235.470816,759.904993,51.031629,16.449281,21.889201,13.988365,5.828486,6.864661,144.546442,51.549717,240.392648,371.727856,11.009362,6.994183,40.540355,183.921099,95.198597,30.437647,17.355935,2.331394,2.201872,15.154062,3.885657,9.066533,472.236851,87.686327,11.916015,2.590438,38.597526,1.036175,1783.646099,6.476095,185.863928,2.849482,3.108526,323.934274,14.376931,3.367569,14.506453,127.838116,273.420733,34.582348,6.994183,305.542164,3.885657,79.267403,70.589436,22.536811,69.553261,16.060716,4.274223,23.702508,42.094618,32.380475,4.015179,24.997727,18.521632,123.563894,17.614979,97.659513,102.19278,512.518162,42827.8413,31.99191,5841.178691,4.144701,7.51227,22.148245,23.572986,126.801941,88.204415,10429.10347
TCGA.A6.5661.01,8349.51044,16730.98394,8333.864188,12839.53763,265.092207,422.672313,867.02586,17.88143,16162.80148,642.837425,550.077505,23.24586,1274.945992,4543.671482,21977.39564,4.470358,12.069966,546.277701,2642.651906,91738.89088,46799.27983,34.198236,1.788143,45.37413,14.081626,221.059184,89.63067,771.136689,43.585987,662.059963,2.458697,73.537383,65.714257,21.904752,4.24684,3.799804,7.37609,2077.598703,10.50534,30.62195,145.733658,4.917393,262.409992,55.208917,12.293483,12.740519,818.969516,1335.966374,1039.134628,127423.0735,98.571385,768.454474,5.587947,626.744138,656.02498,34423.76532,328.124249,1.341107,278.056244,2818.33696,178.143751,33.527682,2.905732,815.169712,145.51014,194.907592,359.64027,7.823126,1427.832223,834.839285,495.539142,236.034882,64.820185,28.610289,19413.42203,249.445955,9944.31052,98.794903,225.529542,3.12925,25.928074,7.599608,421.107688,59556.33936,77.560705,30.398432,10917.06034,11905.90344,16.987359,178.367269,730.679953,160.262321,523.702395,291.914352,7.37609,6.929054,21.457717,575.782061,969.620567,1225.772059,10.50534,101.2536,3397.471789,2733.400165,16820.61461,25795.97511,559.688774,227061.3098,694.246538,8.270162,10.50534,4112.50549,15.86977,7.37609,5.364429,60208.34102,299.960996,100.806564,281.856048,52.75022,2409.522756,834.168731,8.940715,2325.256515,9443.183431,1.564625,1209.678771,457.76462,1104.625367,1129.882888,5070.056092,6002.349173,223.964917,224.411952,1084.061722,3768.734989,113.770601,170.320625,3853.895302,8428.63577,17.657913,391.603327,28.386771,36.209897,31.292503,8.717197,52.526702,13.634591,121.817245,16.540323,299.066925,10.728858,23.022342,13.634591,55.432434,8.046644,102.371189,328.571285,9.611269,15.646252,16.316805,6.929054,5.140911,1194.479555,48.279862,31435.77828,477.657711,782.536101,56.326506,18.328466,18.775502,8.493679,5.587947,4.023322,141.486819,78.678294,171.661733,438.542082,9.387751,10.058305,221.953256,140.369229,176.579126,19.893091,137.239979,2.905732,1.117589,13.187555,4.24684,11.399412,495.092106,81.584027,8.493679,4.24684,41.12729,3.352768,1144.41155,6.034983,137.239979,1.564625,2.011661,108.853208,42.021362,6.034983,27.939735,381.097987,517.89093,78.454776,9.611269,778.065743,4.023322,128.299264,52.75022,20.116609,40.009701,9.611269,9.611269,55.432434,26.151592,37.103968,6.482019,31.516021,9.611269,180.37893,19.446056,57.667613,63.032042,178.590787,20672.72177,102.147672,4723.826894,3.12925,12.517001,12.069966,15.646252,66.161293,35.315825,9437.595484
TCGA.A6.5662.01,4678.893219,9192.229565,4625.868478,6885.487087,463.924933,223.152713,859.615833,7.729312,8141.70804,315.572012,394.776681,128.073866,1647.257644,3802.488988,15545.97324,0.747998,8.643532,243.265546,2080.348441,265016.4946,27234.93676,5.069764,1.495996,138.79517,8.144866,338.759947,151.843578,485.118207,7.064425,291.220524,0.831109,20.445277,19.364835,3.573768,0.831109,3.656879,1.662218,624.661375,6.482649,5.65154,54.936292,20.77772,101.312163,60.670942,3.407546,19.447946,310.086694,732.206854,319.810667,239820.6833,10.139527,1860.935717,1.412885,90.092194,151.09558,14234.48355,308.092033,2.82577,71.142913,2277.736781,148.186699,12.799076,1.329774,64.327821,96.491732,90.258416,331.030636,2.160883,1351.715355,860.945607,208.275866,180.683053,148.103588,77.791784,33540.80856,45.794095,12787.2738,15.791067,66.987369,0.498665,5.65154,2.160883,296.705842,20605.5974,36.901231,9.47464,7712.357233,8005.73864,14.045739,137.548507,455.032069,27.925256,105.550818,151.926689,3.324435,4.571098,7.396868,305.266263,459.021391,512.212354,5.568429,108.62592,1554.672124,1901.327605,9252.817397,11667.02224,473.150241,129332.0819,126.49476,2.077772,5.817762,134.639626,22.273716,19.614168,0.997331,30713.29331,123.502768,34.574126,28.423921,18.118172,2129.38386,629.066252,5.152875,2391.848019,3239.329664,0.831109,1928.338641,480.879552,815.733289,609.202751,3279.721552,7575.889168,242.185105,244.179766,469.908916,3236.171451,109.789473,71.059803,5176.228726,3424.500705,11.469301,389.790028,26.42926,19.531057,6.56576,7.479979,22.273716,5.069764,100.314832,8.643532,315.821345,6.898203,5.485318,6.56576,18.533726,1.579107,23.686601,221.656717,4.155544,12.051078,10.970636,3.490657,2.82577,735.697511,33.07813,22035.27076,70.727359,369.926527,20.362166,7.56309,8.47731,6.150205,1.662218,3.075103,46.375871,153.00713,89.759751,202.458104,3.8231,3.075103,28.673254,21.608829,48.370532,12.715965,7.064425,1.163552,0.332444,5.319096,2.077772,7.895534,51.861189,8.227977,1.662218,4.072433,11.386191,0.415554,247.171758,1.91155,222.903381,0.498665,1.080441,80.28511,27.177258,1.91155,3.324435,120.676998,478.136893,11.30308,10.555082,23.271046,2.576437,34.90657,12.965297,9.059086,11.219969,15.541735,2.327105,8.643532,12.965297,10.638193,1.579107,4.238655,11.219969,95.826845,5.235985,88.928642,89.344196,442.648548,30550.64532,13.463963,2635.695342,0.498665,1.080441,10.555082,18.118172,41.804773,79.370891,14497.11393
