,0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,18,22,23,24,25,26,29,85,86,87,88,100,103,115,116,126,142,157,158,159,160,161,173,177,178,180,181,182,183,186,187,192,193,195,196,197,199,204,205,206,207,208,209,210,211,212,214,215,216,219,221,222,225,227,231,238,239,240,241,242,243,244,245,246,247,251,253,254,255,256,258,259,260,261,263,264,272,274,275,290,293,294,295,296,297,301,302,303,305,306,307,309,310,311,312,313,320,321,322,323,325,333,335,336,338,339,340,446,451,453,461,463,464,467,468,469,471,472,475,476,477,479,482,484,486,497,504,507,508,512,561,562,564,570,573,624,625,626,667,718,719,720,721,722,723,726,728,740,743,745,746,747,749,809,812,884,886,892,894,899,900,907,924,934,937,938,962,963,970,975,979,982,985,989,997,999,1003,1016,1017,1023,1024,1025,1026,1043,1044,1045
sampleID,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g,hsa-let-7i,hsa-mir-1-2,hsa-mir-100,hsa-mir-101-1,hsa-mir-101-2,hsa-mir-103-1,hsa-mir-103-2,hsa-mir-106a,hsa-mir-106b,hsa-mir-107,hsa-mir-10a,hsa-mir-10b,hsa-mir-1180,hsa-mir-125a,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-126,hsa-mir-127,hsa-mir-1271,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-1287,hsa-mir-1301,hsa-mir-1306,hsa-mir-1307,hsa-mir-130a,hsa-mir-130b,hsa-mir-132,hsa-mir-136,hsa-mir-139,hsa-mir-140,hsa-mir-142,hsa-mir-143,hsa-mir-144,hsa-mir-145,hsa-mir-146a,hsa-mir-146b,hsa-mir-148a,hsa-mir-148b,hsa-mir-150,hsa-mir-151,hsa-mir-152,hsa-mir-153-2,hsa-mir-155,hsa-mir-15a,hsa-mir-15b,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-17,hsa-mir-181a-1,hsa-mir-181a-2,hsa-mir-181b-1,hsa-mir-181c,hsa-mir-181d,hsa-mir-182,hsa-mir-183,hsa-mir-185,hsa-mir-186,hsa-mir-18a,hsa-mir-190,hsa-mir-191,hsa-mir-192,hsa-mir-193a,hsa-mir-193b,hsa-mir-194-1,hsa-mir-194-2,hsa-mir-195,hsa-mir-196a-1,hsa-mir-196a-2,hsa-mir-196b,hsa-mir-197,hsa-mir-1976,hsa-mir-199a-1,hsa-mir-199a-2,hsa-mir-199b,hsa-mir-19a,hsa-mir-19b-2,hsa-mir-200a,hsa-mir-200b,hsa-mir-200c,hsa-mir-203,hsa-mir-204,hsa-mir-20a,hsa-mir-21,hsa-mir-210,hsa-mir-218-2,hsa-mir-22,hsa-mir-221,hsa-mir-222,hsa-mir-223,hsa-mir-224,hsa-mir-2355,hsa-mir-23a,hsa-mir-23b,hsa-mir-24-1,hsa-mir-24-2,hsa-mir-25,hsa-mir-26a-2,hsa-mir-26b,hsa-mir-27a,hsa-mir-27b,hsa-mir-28,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-301a,hsa-mir-3065,hsa-mir-30a,hsa-mir-30b,hsa-mir-30c-2,hsa-mir-30d,hsa-mir-30e,hsa-mir-32,hsa-mir-320a,hsa-mir-320b-2,hsa-mir-324,hsa-mir-326,hsa-mir-328,hsa-mir-330,hsa-mir-331,hsa-mir-335,hsa-mir-338,hsa-mir-339,hsa-mir-340,hsa-mir-342,hsa-mir-345,hsa-mir-34a,hsa-mir-3605,hsa-mir-3607,hsa-mir-361,hsa-mir-362,hsa-mir-3647,hsa-mir-365-1,hsa-mir-365-2,hsa-mir-3653,hsa-mir-374a,hsa-mir-374b,hsa-mir-375,hsa-mir-378,hsa-mir-379,hsa-mir-423,hsa-mir-424,hsa-mir-425,hsa-mir-429,hsa-mir-450a-2,hsa-mir-450b,hsa-mir-451,hsa-mir-452,hsa-mir-454,hsa-mir-455,hsa-mir-484,hsa-mir-486,hsa-mir-497,hsa-mir-500a,hsa-mir-501,hsa-mir-502,hsa-mir-503,hsa-mir-505,hsa-mir-532,hsa-mir-542,hsa-mir-574,hsa-mir-576,hsa-mir-582,hsa-mir-584,hsa-mir-589,hsa-mir-590,hsa-mir-598,hsa-mir-615,hsa-mir-625,hsa-mir-628,hsa-mir-629,hsa-mir-652,hsa-mir-653,hsa-mir-660,hsa-mir-664,hsa-mir-671,hsa-mir-7-1,hsa-mir-708,hsa-mir-744,hsa-mir-766,hsa-mir-769,hsa-mir-874,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-92b,hsa-mir-93,hsa-mir-98,hsa-mir-99a,hsa-mir-99b
TCGA.3Z.A93Z.01,7968.588104,15854.48279,8048.851663,16418.1305,3555.659996,555.417559,1476.80246,27.041922,8863.950053,488.792534,441.371193,14.971035,5635.536503,12987.56879,107.854158,22408.34729,4.859708,10.738386,353.347778,88.572092,32174.08664,207614.9425,16.77383,897.164745,752.157338,27.277069,13432.62395,368.632343,7.446326,58.630022,46.794282,23.514715,5.800296,6.192208,525.789019,101.03489,12.070887,78.539147,21.084861,289.387754,3043.431129,476.251353,190629.4803,485.814004,4186.167877,18.41986,264.462157,10056.77314,87.396356,288.760695,2054.245468,142.264023,5.016472,171.422269,188.979923,178.00639,512.072102,10.111327,483.227385,2737.583075,513.404602,577.129479,70.308997,16.617065,1107.778205,316.586441,90.374886,192.663895,6.505738,13.873682,256.859066,6854.225778,155.353881,18.41986,1302.636807,1415.899349,86.926062,566.155945,70.07385,780.218231,214.454197,4.311031,619.61273,1011.446258,1148.223514,15.284564,90.453269,260.778185,263.364804,211.710814,186.863599,720.020561,149.945497,105654.9832,2099.472102,46.951047,68437.53892,114.359895,19.360448,112.086806,33.939571,55.337962,2783.51515,1168.994845,26.33648,1692.510775,5764.553904,2585.991548,1427.578324,1279.984298,2317.688654,2752.318962,6501.896971,270.4976,315.097176,2480.724009,7.367944,33.23413,122973.4137,527.983725,1819.176704,9014.052315,9343.963761,27.825746,466.688703,4.93809,32.058394,2.037942,32.215159,12.697946,9.719415,30.098835,469.588851,35.977513,33.077365,122.668428,4.781325,200.502133,2.978531,14.343976,388.306321,22.025449,3.135295,9.719415,9.092356,2.978531,834.223692,98.448272,65.292524,758.663076,238.047294,99.780772,133.563579,65.997966,71.171203,6.89765,14.422358,3766.978898,126.03887,4.467796,350.682777,50.870166,855.935612,33.704424,171.579034,40.210162,18.184713,8.700444,71.171203,1023.125233,329.206004,64.743848,10.032945,299.10717,59.727375,35.272072,13.795299,45.853693,17.244124,50.321489,13.089858,106.208128,15.833241,38.799279,65.135759,32.371924,2.586619,10.660004,18.341477,17.244124,3.997501,13.403387,7.524709,61.843699,59.021934,236.871558,5021.41054,38.407367,2559.263155,61.059876,1048.207595,29192.26407
TCGA.6D.AA2E.01,10844.76625,21766.23266,10875.96632,6349.212769,2620.371937,527.078838,3158.573019,30.911173,23958.90374,866.090631,308.533954,44.777868,11726.16803,16910.14512,141.989174,20341.86313,5.4889,16.900034,223.60045,88.544623,50345.77903,93922.44444,23.688937,840.523913,985.835316,43.477865,2988.417121,446.767565,3.755563,100.244646,66.155689,39.866747,4.477787,6.500013,1159.891222,92.589075,6.788903,59.366786,22.244489,247.72272,4001.841381,644.367963,239774.5044,264.622754,3348.228956,143.866956,282.245012,17068.88988,100.389091,716.87922,2449.927149,425.967523,4.622232,92.011296,308.967288,81.75572,502.523233,3.611118,440.411997,1451.525141,438.100881,204.822634,93.166854,16.755589,394.045237,79.155715,86.95573,232.122689,5.633345,15.888921,299.289491,8415.928036,231.689355,55.900112,2380.593677,2576.171848,117.866904,172.178124,22.966713,611.145674,265.633868,4.477787,922.424077,1456.725152,1594.092095,9.533353,52.000105,130.86693,147.622519,33.511179,79.300159,278.778338,143.144732,101783.1269,98.511309,40.87786,134920.0491,400.689695,70.489031,177.667024,11.266689,27.4445,1802.959182,1058.202128,21.66671,1415.991737,2658.216457,2835.883481,706.623643,705.323641,1766.414664,1875.181549,8755.373164,250.322726,294.522815,3388.095703,5.20001,165.389222,80283.82813,490.389875,2063.393039,7421.714926,19146.7274,35.244515,167.267003,0.866668,27.011165,1.733337,33.944513,8.811129,14.444473,32.500065,211.900426,25.422273,47.955652,181.422587,3.322229,320.522867,1.155558,9.533353,457.88981,32.64451,2.888895,16.900034,16.611145,3.466674,969.513061,78.000157,844.71281,1508.869701,256.678294,137.944722,114.255785,65.000131,24.266715,4.622232,20.222263,557.123343,92.011296,4.044453,289.178359,33.944513,267.511649,36.544518,307.667285,11.844468,20.077818,13.144471,18.055592,1667.325575,521.589938,48.388986,4.477787,30.766729,36.400073,67.022357,15.455587,57.200115,7.077792,106.311325,10.400021,47.233428,14.155584,22.966713,123.644693,51.85566,2.600005,7.366681,22.677823,37.266742,6.644458,21.522266,14.733363,39.000078,42.611197,251.478284,3539.184895,40.155636,1426.391758,58.355673,1212.902439,29674.87079
TCGA.A3.3317.01,3548.76533,7121.497947,3545.953525,23596.5312,1363.725282,573.474265,572.001414,15.397978,1694.447074,163.486359,343.040174,27.582465,16235.36037,9886.439242,31.86712,12381.71508,4.016864,2.811805,425.653674,54.361558,33189.0699,250761.5639,21.958856,1800.760071,658.631779,14.059024,4271.265244,386.422304,5.757505,58.244526,36.955148,29.189211,6.962564,6.694773,1878.151648,31.331538,10.845532,65.608776,36.955148,151.703559,1833.296668,1614.779274,76230.4357,283.992275,1329.448044,45.390562,224.408795,32673.84016,82.479605,574.813219,1596.435596,132.556508,8.970996,184.909633,112.070502,34.009447,438.239848,5.355818,412.264128,4206.861527,896.69791,1006.75998,59.583481,21.289378,17122.01612,3740.771423,38.427998,248.242187,1.740641,20.619901,156.122109,20362.4202,283.590589,15.799665,2260.824879,2420.829956,26.645197,523.129571,22.360542,2133.891981,244.225323,14.594605,750.885752,1274.283114,1535.379265,7.632041,24.636765,471.713713,213.563262,79.400009,194.14842,162.950777,123.853303,79966.38688,3178.812168,26.645197,135967.2267,46.193934,30.929852,39.097475,17.004724,53.825976,2196.555057,730.801433,9.238787,606.412548,3795.936353,1009.70568,249.715037,332.462433,424.180824,5559.071799,2807.653947,74.044191,97.609792,808.996383,5.757505,21.557169,79413.26473,230.032404,635.066177,11745.17605,29957.10123,5.8914,201.780462,3.481282,22.360542,2.142327,98.413165,14.594605,21.423274,43.38213,886.254064,10.711637,11.51501,62.796972,2.008432,87.701528,3.882968,80.605068,190.667138,2.811805,5.088028,35.883984,34.277238,15.799665,948.64935,18.343678,131.753135,274.753488,277.029711,113.275561,134.297149,23.163915,16.469142,1.071164,13.791233,251.99126,53.290394,4.41855,586.194333,50.74638,284.260066,12.184487,185.177424,42.310966,4.552446,13.389546,11.648905,661.979165,231.103568,28.251943,12.586173,69.223954,96.136942,30.662061,21.021588,15.799665,3.615177,112.338293,8.56931,105.777415,13.523442,12.586173,14.594605,42.043175,3.213491,2.811805,56.503885,28.251943,7.36425,8.301519,10.577742,104.706251,100.421597,397.803418,6932.303659,36.687357,2638.945664,25.038451,468.098536,67591.23269
TCGA.A3.3358.11,3977.770466,7901.015002,4021.260087,5918.849898,1472.418675,321.910606,661.741558,9.615795,5066.650028,407.360061,128.174182,15.079316,3428.031071,13303.56225,34.420177,4597.333649,3.278112,14.423693,115.061734,42.287646,54446.60059,316928.0943,8.741632,750.687666,492.481705,14.532964,9877.935126,183.246465,1.857597,42.943268,31.032794,22.072621,6.884035,1.311245,330.761509,76.161471,2.294678,28.082493,15.516397,97.906281,707.744398,573.341803,52777.823,272.629655,1720.353219,31.906958,93.535465,13125.23295,94.737439,159.097706,969.337742,196.468184,2.84103,22.946785,44.363783,38.135371,372.612073,2.62249,188.382174,586.891332,493.246597,94.191087,28.082493,5.682061,2748.696978,830.673601,15.188586,79.330312,3.605923,15.407127,167.839338,10445.15779,53.105416,19.668672,1469.031293,1705.710985,41.850564,216.136856,30.267902,464.399211,51.794171,4.152275,575.855022,1025.93981,1298.678735,5.46352,38.135371,399.929674,345.840824,854.276008,1117.945489,534.441539,72.337007,28002.61681,107.194265,40.75786,59668.52386,36.933396,15.297856,27.426871,2.513219,19.12232,1263.930747,1472.855757,47.314084,784.124409,2491.802261,1543.772248,649.612544,612.788418,1536.669672,1574.25869,4678.95864,209.689903,228.921493,1807.113918,7.430387,51.138548,287232.7697,1338.453162,2150.222983,7771.748116,17780.04283,18.575968,307.705454,2.84103,29.393738,0.874163,18.357428,6.665495,14.751504,20.105754,167.183716,25.241463,8.304551,40.976401,14.314423,33.327473,5.135709,139.866115,151.448778,71.572114,8.523091,8.850903,10.708499,6.228413,581.974164,57.913313,129.703968,331.526402,154.72689,64.797349,183.574276,66.108594,69.605246,5.244979,12.347555,861.160043,9.506525,3.278112,275.252144,26.552708,188.491445,13.112448,382.66495,104.353234,21.089188,14.751504,25.569274,1420.515234,337.536274,10.81777,1.857597,228.156601,9.834336,22.509703,9.397255,12.347555,7.211847,41.304212,35.29434,19.887213,17.046183,32.125498,81.187909,19.12232,0.874163,6.446954,58.022584,13.330989,3.059571,9.287984,15.297856,1077.733981,1100.134414,113.422678,3681.319864,16.28129,827.395489,53.105416,975.129073,28465.5955
TCGA.A3.3358.01,12871.90838,25849.39171,12859.55386,11401.34657,2768.534769,442.890687,1739.366131,55.782513,30951.43253,1052.754533,503.91451,10.108241,2387.416663,12701.5658,59.900685,10817.68927,3.369414,12.354516,352.290902,52.787478,29114.72778,145879.1324,1.497517,887.278892,363.147901,28.078446,18506.31653,123.545162,7.113206,56.531271,41.930479,24.334653,5.615689,2.620655,1020.183536,91.722923,8.985103,38.186686,11.605758,151.623608,1203.629382,5042.88889,93758.42353,410.694069,903.75158,78.245269,552.583816,42011.34519,226.499464,790.689038,1700.056307,210.401155,8.610723,531.244197,104.451819,80.117166,526.377266,4.492551,349.295867,1741.238027,670.513289,391.975105,35.566032,7.861965,2227.556711,478.456719,47.171789,452.250169,2.246276,12.354516,311.85794,13281.10493,181.199571,34.068514,950.923369,1098.428805,67.013891,341.059523,28.078446,7139.412853,269.553081,9.733861,214.519327,380.369348,496.426924,14.600792,50.166823,176.33264,104.826198,51.289961,239.602739,170.342572,135.15092,180897.8214,4441.261389,19.842102,69852.80904,40.807341,38.561066,111.939404,24.709032,57.28003,2483.632138,805.664209,23.960274,1077.463565,4133.521621,1485.53698,879.416927,651.794325,659.65629,3849.742128,3474.988469,207.406121,248.962221,1152.339421,8.236344,16.847068,127905.932,220.509395,1358.622404,4783.06967,22159.88391,13.477654,362.399142,4.492551,22.462757,4.866931,70.383304,14.600792,35.940411,20.216481,451.87579,28.078446,47.920548,102.579922,8.610723,157.988056,7.487586,116.431956,235.858946,5.24131,4.492551,19.842102,22.088377,11.605758,1029.543018,49.792444,56.156892,353.788419,83.486579,107.446853,844.599654,63.270098,10.48262,12.728895,118.303852,582.534158,89.851027,8.985103,558.948264,75.250235,289.395183,18.344585,138.894713,47.920548,5.615689,225.376326,26.580929,576.169711,748.384179,22.837136,18.718964,887.278892,33.694135,34.442894,25.083412,5.24131,6.738827,93.59482,55.408133,77.496511,14.975171,682.119047,23.211515,36.31479,2.246276,21.713998,89.102268,37.812307,4.118172,12.354516,14.975171,381.492485,383.364382,166.598779,3252.232798,28.452825,2658.092882,79.742786,804.541071,44407.74696
TCGA.A3.3387.11,5434.930077,10827.84596,5428.146535,3031.14915,1083.616127,252.303997,1143.136237,45.734202,16191.43943,828.905066,101.75313,13.129436,3728.541031,9942.046669,70.023659,7947.028852,3.501183,16.630619,68.273068,72.649546,45639.88933,327082.4817,2.844711,975.298279,409.419583,11.597669,5748.504776,249.240462,1.09412,24.508281,13.567084,9.847077,4.595303,1.09412,370.90657,52.955392,1.531768,21.66357,26.69652,119.477869,756.693168,465.876158,35759.55101,408.325463,982.738293,27.134168,177.028564,13329.00354,141.79791,80.964856,943.13116,145.299093,1.09412,19.256506,69.148364,28.447112,249.240462,3.501183,196.941542,691.921283,220.574527,120.790812,12.035316,3.282359,2300.714854,790.829702,37.637717,112.475503,3.063535,28.228288,183.155634,15778.51867,23.632985,12.472964,2554.988267,3124.149322,26.69652,140.047318,38.95066,400.885449,48.797738,5.470598,461.280855,735.467246,870.26279,11.160021,50.767153,357.339486,320.577065,594.544632,289.504066,608.768188,122.541404,31143.24127,48.141266,55.143632,78805.72023,26.477696,18.162387,38.95066,0.875296,24.070633,694.984818,1332.856589,25.164753,382.285415,2264.390081,1127.818562,508.984473,203.50626,800.676779,1284.934147,2767.903956,141.79791,172.214437,955.385301,7.877662,57.988343,271451.5292,1361.084877,3262.664873,10110.10345,13400.99661,11.378845,204.600379,0.656472,27.79064,0.656472,18.818858,1.969415,7.002366,25.383576,122.541404,19.037682,16.411795,39.825956,8.31531,37.856541,3.063535,88.186046,183.374458,114.444918,4.157655,8.534133,5.470598,5.032951,519.050374,40.04478,19.037682,436.116103,161.054416,71.117779,231.078076,41.357724,59.957758,1.969415,21.444746,954.072357,9.190605,3.720007,244.645159,25.821224,171.557965,9.628253,349.024177,126.917882,11.378845,35.449477,23.195337,1367.211947,316.200586,6.783542,4.814127,229.327484,10.941197,12.472964,6.783542,19.47533,5.470598,23.851809,17.287091,10.503549,10.065901,52.955392,124.291995,21.444746,2.407063,4.595303,68.273068,11.160021,0.875296,5.689422,28.665936,345.522994,330.642966,181.623866,3227.871867,6.12707,1016.874827,80.527208,629.118814,31173.43898
TCGA.A3.3387.01,11691.81208,23321.74411,11670.71661,12833.54573,2421.291047,417.690285,1765.690751,52.269884,23924.84013,776.547652,474.882445,66.33353,4551.933411,10336.54539,48.285184,9585.781091,5.15667,3.047123,277.053826,43.128514,27268.70635,129212.0913,4.453488,917.887293,551.529316,20.626681,10679.22957,294.398989,6.094247,31.643203,28.361686,14.766828,8.672582,4.922276,825.770412,121.650538,7.500611,70.083836,19.689104,118.134626,1672.167506,2336.205989,220515.6248,127.275996,3889.535686,107.118103,431.753931,15364.29883,178.37391,396.594816,1681.074481,238.847587,14.532434,214.704995,115.321897,191.265585,433.629084,4.687882,280.100949,1876.324766,1074.696946,492.227609,55.082613,13.594858,3453.328267,764.827947,36.799874,333.542804,2.343941,8.672582,446.051971,5516.465131,225.487124,40.315785,772.562952,842.881182,76.412476,227.596671,33.987144,1118.528643,280.335343,8.438188,916.949717,1506.919665,1787.255008,5.859852,49.222761,121.884932,89.069758,29.768051,430.113173,138.526913,97.273551,174729.7846,2369.489951,20.861075,66347.82819,53.207461,29.299262,93.523246,26.017745,74.771718,3360.27381,1117.122278,16.876375,1154.859728,4260.581546,1403.317473,813.581919,1114.075155,983.517641,4414.109681,3932.664201,250.332898,274.944279,1160.016398,9.375764,7.969399,105655.2499,310.806576,1164.235492,4717.415646,11750.4106,13.594858,385.109505,4.219094,23.43941,7.266217,44.534879,11.250917,31.877598,31.174415,294.398989,39.143815,28.830474,109.462044,6.328641,219.627271,5.859852,58.364131,192.203162,4.922276,5.625458,24.376986,26.486533,7.266217,783.34508,28.361686,9.610158,270.725185,207.673172,98.445522,426.128473,39.612603,8.438188,3.515911,31.643203,383.234353,68.443077,6.797429,611.299811,62.583225,102.89901,43.362908,140.63646,36.56548,4.687882,83.444299,26.955321,488.008515,271.428367,53.676249,9.14137,139.464489,30.705627,22.970622,13.594858,12.891675,4.922276,46.87882,21.329863,45.472455,9.375764,77.584447,21.564257,36.799874,5.625458,16.407587,53.207461,20.157893,4.922276,10.782129,11.016523,38.909421,44.300485,150.481012,3569.822135,50.629125,2279.951405,54.145037,688.884258,38249.36673
TCGA.A3.A6NI.01,6240.60368,12481.3605,6210.893812,14830.12464,2499.457489,401.542647,886.395438,21.593254,6278.430161,268.154529,363.256734,6.585177,4325.695498,19957.83343,68.148924,11287.75891,3.36916,5.05374,487.149946,63.401471,29192.24229,115232.7852,19.908674,542.128516,497.563714,26.646995,6571.547105,218.995417,8.269757,103.831394,66.3112,28.637862,5.360028,3.981735,1021.62128,65.698625,8.269757,67.689493,10.413768,144.108173,1921.799646,644.581617,80954.94866,472.448156,1280.740333,32.160166,351.158386,15544.53976,212.869672,150.387063,1785.195512,244.570407,4.594309,141.198444,146.864759,171.67403,430.027365,11.026343,501.851736,3474.063668,994.821141,666.634302,101.074808,16.998945,2197.611357,520.228974,59.879167,122.208632,7.044608,19.602387,171.520886,6606.310713,347.94237,26.493851,1286.100361,1429.442816,32.925884,659.742838,58.654017,378.111668,233.39092,10.566912,326.195971,501.086018,543.506809,17.764663,82.544427,319.917082,347.023508,21.593254,160.188256,566.018925,222.977152,281223.5014,2028.081338,16.692658,67494.38767,66.770631,17.61152,136.144704,20.674393,62.329465,2650.916557,1116.876629,17.458376,1192.835879,7812.92952,1850.281562,575.0544,1167.873464,1365.581914,4133.347075,3374.214009,112.866869,130.631532,1842.62438,6.738321,9.341763,186539.0715,469.997858,1176.143221,9677.300298,8831.334783,28.637862,370.301342,3.675448,18.530381,2.450298,24.196696,17.917807,17.305232,27.719,376.886519,30.475586,13.782928,50.537404,4.594309,214.247964,2.144011,18.836669,321.448518,14.854934,1.531436,18.224094,19.449243,4.594309,613.187169,49.771686,9.035475,300.774126,249.624147,103.371963,165.241997,70.139791,28.331575,5.819459,17.917807,3164.560354,107.200554,3.828591,354.68069,66.617487,737.233524,21.593254,271.676833,34.610465,13.629785,13.323497,37.520194,1247.508161,443.504006,34.151034,10.260624,237.98523,48.393393,48.852824,6.125746,21.133824,7.504039,68.761498,4.900597,82.238139,20.98068,160.953975,72.130658,21.440111,3.216017,8.576044,45.33052,19.908674,3.062873,9.494906,11.792061,29.097293,30.322442,319.304507,7560.855074,65.545482,3233.62814,43.492796,896.809206,23274.31228
