,0,1,2,3,4,5,6,7,8,9,10,13,14,16,18,22,23,24,25,26,29,72,85,86,88,100,109,115,116,126,142,157,158,159,160,161,169,177,178,180,181,183,186,187,192,193,194,195,196,197,204,205,206,207,209,210,211,212,213,214,215,216,219,221,222,231,238,239,240,241,242,243,244,246,247,251,253,254,255,258,261,263,272,274,275,277,283,290,291,293,294,295,296,301,302,303,305,306,307,309,310,311,312,313,320,321,322,323,334,335,336,338,339,340,361,446,451,453,461,463,464,467,468,469,471,472,473,475,476,477,479,481,482,484,486,490,492,497,502,504,507,508,512,561,562,570,572,573,592,622,624,625,626,720,721,722,723,726,728,743,744,745,746,747,749,752,766,809,812,858,884,886,892,894,899,934,937,938,962,970,975,979,982,989,999,1003,1016,1017,1023,1024,1025,1026,1038,1043,1044,1045
sampleID,hsa.let.7a.1,hsa.let.7a.2,hsa.let.7a.3,hsa.let.7b,hsa.let.7c,hsa.let.7d,hsa.let.7e,hsa.let.7f.1,hsa.let.7f.2,hsa.let.7g,hsa.let.7i,hsa.mir.100,hsa.mir.101.1,hsa.mir.103.1,hsa.mir.103.2,hsa.mir.106a,hsa.mir.106b,hsa.mir.107,hsa.mir.10a,hsa.mir.10b,hsa.mir.1180,hsa.mir.1248,hsa.mir.125a,hsa.mir.125b.1,hsa.mir.126,hsa.mir.127,hsa.mir.1274b,hsa.mir.128.1,hsa.mir.128.2,hsa.mir.1287,hsa.mir.1301,hsa.mir.1306,hsa.mir.1307,hsa.mir.130a,hsa.mir.130b,hsa.mir.132,hsa.mir.134,hsa.mir.139,hsa.mir.140,hsa.mir.142,hsa.mir.143,hsa.mir.145,hsa.mir.146a,hsa.mir.146b,hsa.mir.148a,hsa.mir.148b,hsa.mir.149,hsa.mir.150,hsa.mir.151,hsa.mir.152,hsa.mir.155,hsa.mir.15a,hsa.mir.15b,hsa.mir.16.1,hsa.mir.17,hsa.mir.181a.1,hsa.mir.181a.2,hsa.mir.181b.1,hsa.mir.181b.2,hsa.mir.181c,hsa.mir.181d,hsa.mir.182,hsa.mir.183,hsa.mir.185,hsa.mir.186,hsa.mir.191,hsa.mir.192,hsa.mir.193a,hsa.mir.193b,hsa.mir.194.1,hsa.mir.194.2,hsa.mir.195,hsa.mir.196a.1,hsa.mir.196b,hsa.mir.197,hsa.mir.1976,hsa.mir.199a.1,hsa.mir.199a.2,hsa.mir.199b,hsa.mir.19b.2,hsa.mir.200c,hsa.mir.203,hsa.mir.20a,hsa.mir.21,hsa.mir.210,hsa.mir.2110,hsa.mir.212,hsa.mir.218.2,hsa.mir.219.1,hsa.mir.22,hsa.mir.221,hsa.mir.222,hsa.mir.223,hsa.mir.2355,hsa.mir.23a,hsa.mir.23b,hsa.mir.24.1,hsa.mir.24.2,hsa.mir.25,hsa.mir.26a.2,hsa.mir.26b,hsa.mir.27a,hsa.mir.27b,hsa.mir.28,hsa.mir.29a,hsa.mir.29b.1,hsa.mir.29b.2,hsa.mir.29c,hsa.mir.3074,hsa.mir.30a,hsa.mir.30b,hsa.mir.30c.2,hsa.mir.30d,hsa.mir.30e,hsa.mir.3127,hsa.mir.32,hsa.mir.320a,hsa.mir.320b.2,hsa.mir.324,hsa.mir.326,hsa.mir.328,hsa.mir.330,hsa.mir.331,hsa.mir.335,hsa.mir.338,hsa.mir.339,hsa.mir.33a,hsa.mir.340,hsa.mir.342,hsa.mir.345,hsa.mir.34a,hsa.mir.34c,hsa.mir.3605,hsa.mir.3607,hsa.mir.361,hsa.mir.3613,hsa.mir.3615,hsa.mir.362,hsa.mir.363,hsa.mir.3647,hsa.mir.365.1,hsa.mir.365.2,hsa.mir.3653,hsa.mir.374a,hsa.mir.374b,hsa.mir.378,hsa.mir.378c,hsa.mir.379,hsa.mir.3917,hsa.mir.421,hsa.mir.423,hsa.mir.424,hsa.mir.425,hsa.mir.451,hsa.mir.452,hsa.mir.454,hsa.mir.455,hsa.mir.484,hsa.mir.486,hsa.mir.500a,hsa.mir.500b,hsa.mir.501,hsa.mir.502,hsa.mir.503,hsa.mir.505,hsa.mir.508,hsa.mir.514.2,hsa.mir.532,hsa.mir.542,hsa.mir.550a.1,hsa.mir.574,hsa.mir.576,hsa.mir.582,hsa.mir.584,hsa.mir.589,hsa.mir.625,hsa.mir.628,hsa.mir.629,hsa.mir.652,hsa.mir.660,hsa.mir.664,hsa.mir.671,hsa.mir.7.1,hsa.mir.744,hsa.mir.769,hsa.mir.874,hsa.mir.9.1,hsa.mir.9.2,hsa.mir.92a.1,hsa.mir.92a.2,hsa.mir.92b,hsa.mir.93,hsa.mir.942,hsa.mir.98,hsa.mir.99a,hsa.mir.99b
TCGA.3N.A9WC.06,14676.83473,29175.0427,14729.34862,15377.01985,306.330986,1778.31105,2772.892174,43.761569,12410.38327,1396.789731,914.616802,20523.38041,6995.883628,71887.52799,19.49379,8.354481,512.010363,137.252195,4051.525668,24510.85506,21.880785,7.160984,1388.435249,1417.477018,955.593544,110.995253,3.18266,128.102049,99.855945,111.393086,60.868365,12.332806,1179.971046,37.39625,42.568072,104.232102,57.287873,19.095958,37219.61266,1146.55312,20170.50303,267.343406,1056.642986,940.873743,56650.14734,328.211771,28.246104,4063.062809,8840.632697,297.18084,1972.055453,213.238193,508.032038,644.488568,1098.415394,8231.949049,4211.454312,1911.584921,11.139309,24.267779,3.18266,769.407958,218.410015,415.73491,646.875563,1064.599635,228.355826,534.28898,43.761569,42.568072,43.761569,12.730638,176.637608,65.244522,593.963847,25.063444,398.230282,649.66039,697.798117,33.815758,95.081955,49.729056,284.450202,273820.9141,729.624713,3.978324,3.18266,14.321968,1.989162,49182.03659,375.951665,145.606677,196.52923,12.332806,6096.782291,867.672573,17.504628,3043.020408,9494.669244,2856.039156,383.510481,1187.927695,1815.7073,3303.20283,16113.80554,305.933154,344.522901,1866.629854,17.504628,14477.12284,2472.926507,648.069061,31188.07489,8727.250449,7.160984,14.321968,996.570286,9.945811,76.38383,5.171822,56.094375,61.66403,23.869947,9.945811,474.21628,68.427181,14.719801,42.568072,714.109247,3.978324,162.713472,4.773989,9.150146,123.725892,872.844395,2.784827,33.417926,149.585001,18.698125,11.934973,19.095958,20.687287,9.547979,247.053951,26.256942,1321.201565,16.31113,136.854363,3.978324,7.558817,341.738074,71.609841,249.440946,94.684123,19.095958,9.945811,114.575746,62.061862,42.965905,973.496004,17.504628,165.498299,45.352899,10.343644,44.955067,2727.937107,137.252195,1655.380823,332.190095,2.784827,41.374575,10.741476,305.137489,5822.675734,167.487461,206.475041,13.924136,137.650028,75.985998,101.845107,115.769243,13.526303,19.49379,38.98758,19.095958,12.730638,18560.07728,18463.80182,1059.825646,22038.32638,77.577328,6834.363653,9.945811,138.445692,56.094375,93333.08403
TCGA.3N.A9WD.06,25230.441,50426.37785,25459.74983,34387.6987,10490.69933,1156.607868,5706.842676,49.599716,24356.33586,1705.080089,797.189637,9719.38781,3663.90945,49192.85448,10.782547,25.878113,363.73125,87.698048,1723.769837,36144.53501,30.909968,7.188365,2091.09527,2529.585512,4087.304126,613.886339,5.750692,227.152322,147.361475,71.16481,44.567861,17.970912,1487.991477,69.0083,81.947357,202.711882,314.131534,155.987512,3630.842972,718.117626,106313.0375,3251.29732,1607.31833,1434.797579,120149.2017,173.239587,45.286697,4864.366342,4681.781881,260.218799,945.269948,105.66896,743.995739,407.580274,863.322592,5416.432745,2331.905485,1211.958276,9.344874,91.292231,26.596949,7976.209388,1913.542663,294.72295,831.693787,1037.999852,173.239587,931.612055,222.839303,27.315786,36.66066,49.599716,126.515217,523.312945,1328.409783,16.533239,1003.495702,1472.177075,1780.557918,58.94459,10595.64946,600.228446,91.292231,62281.42879,1750.366786,7.907201,10.06371,83.38503,3.594182,70217.38334,654.141181,112.138488,247.99858,5.750692,6284.068356,1355.725568,20.127421,2497.237871,9269.396185,4321.644813,1005.652211,1061.002619,1522.495628,4801.82757,12853.51479,195.523518,234.340687,1508.837735,20.846257,21376.03989,1122.103718,1217.708968,20730.52474,10461.22704,9.344874,7.188365,3787.549321,58.225753,64.695282,9.344874,181.865625,27.315786,12.22022,131.547073,449.272789,72.602483,11.501383,36.66066,535.533165,41.692515,36.66066,10.06371,5.750692,61.101099,892.794886,11.501383,6.469528,123.639872,79.790847,30.909968,37.379496,36.66066,9.344874,150.955657,17.252075,2391.568911,5.750692,719.555299,3.594182,8.626038,385.296344,72.602483,219.245121,649.109326,41.692515,7.188365,319.882226,93.44874,171.801915,1197.581547,17.252075,203.430719,56.069244,10.782547,95.60525,2512.333437,126.515217,2058.028792,197.680027,4.313019,206.306065,24.44044,246.560907,1169.546925,114.294998,875.542811,10.782547,253.030435,62.538772,53.193898,106.387796,12.939056,27.315786,63.976445,32.347641,36.66066,902.858597,905.015106,1692.859869,36173.28847,196.242354,4650.153076,18.689748,67.570627,1658.355719,68524.52347
TCGA.BF.A1PU.01,23563.7566,47180.1369,23733.44118,54133.36901,1727.530141,693.77365,6143.011266,48.327886,18673.74167,919.610628,1087.607564,11528.88565,3417.932192,39895.82042,14.728499,49.555261,691.779166,122.277222,10587.79597,81893.3669,57.072932,3.375281,2332.012269,893.068646,1359.777943,572.570381,49.248417,132.249643,95.888662,56.612666,29.150153,14.421655,1509.210835,84.688867,35.900715,179.04331,323.566702,110.003473,2074.72381,244.707866,17984.87751,906.262926,1710.807159,396.748929,20626.03483,99.263943,14.575077,105.400818,2820.047205,142.835751,134.550971,157.103984,294.263127,267.414302,801.168952,6370.99615,6356.267651,2159.259255,16.876405,31.144638,12.887436,440.167316,96.809194,227.524618,183.032279,468.857204,342.897857,329.856999,80.85332,88.677835,99.877631,7.824515,90.979163,382.480696,406.107663,3.375281,465.635344,634.859656,662.475591,98.036568,134.704393,1185.797554,243.480491,204342.2682,399.203679,1.227375,7.057406,13.347702,2.45475,86601.73035,237.803883,138.539939,54.771604,23.780388,5625.672755,785.826766,5.062921,1112.461905,13460.62029,631.484375,189.322575,535.902556,262.044537,4448.92709,3299.490517,112.611645,129.641472,128.567519,13.961389,50255.78493,561.984272,1228.909097,24735.59277,4986.057021,16.569561,1.994484,2113.386119,14.728499,129.794893,9.512155,136.238611,23.93381,11.660061,68.579571,13059.11528,95.274975,37.12809,31.451481,135.471502,13.654546,233.508071,44.032074,1.227375,258.976099,2257.756089,5.369765,12.734014,268.94852,86.223085,51.703167,16.416139,18.257201,8.898468,155.416344,7.671093,771.098267,7.671093,383.861493,1.380797,1.994484,412.704803,12.580593,149.27947,23.473545,27.615935,6.59714,111.997958,76.097242,37.741778,2107.249244,39.429418,507.36609,72.415118,4.14239,21.47906,36515.93685,3299.950782,4951.997369,107.855567,4.602656,69.039837,5.062921,838.14362,982.667012,68.886415,228.751993,9.05189,165.695609,52.930542,258.055568,89.444944,19.484576,7.824515,33.445965,43.264964,14.88192,2729.988573,2722.931168,1386.780191,22313.82871,129.027784,10388.80781,3.068437,67.812462,148.052095,55153.47096
TCGA.BF.A1PV.01,14330.77118,28590.37497,14277.73685,14988.63077,1659.272408,474.384227,5925.610782,19.107955,16942.32166,751.644551,796.294773,31837.55743,14476.81055,25282.16405,13.258581,26.90712,1173.384413,274.140659,8789.659243,17836.49596,71.557341,19.107955,781.866317,1038.263875,316.061172,437.923129,106.068647,307.092132,279.795054,79.356506,19.692892,7.409207,1560.417988,111.723042,53.424282,136.485392,96.904628,21.447704,4674.429696,381.964118,22330.56996,171.581636,392.88295,128.686227,9999.504753,191.469507,2.729708,121.666978,6846.692199,358.566623,66.877842,231.440229,277.845262,339.458668,3022.566495,8416.079227,8182.884186,2139.700988,9.164019,76.626799,9.164019,397.757428,167.682053,146.234349,236.704665,233.584999,78.966548,930.050457,40.555659,24.567371,26.127204,9.748957,97.684545,69.802529,209.212608,4.289541,156.373263,274.335638,365.000934,98.074503,201.218464,47.18495,510.260387,406890.2505,98.269482,1.949791,10.723852,12.868623,6.82427,98010.15997,374.749891,108.603376,186.984987,21.837663,10982.39455,883.060486,3.899583,3175.235155,8338.477533,1728.100041,241.969102,1767.485826,486.082975,1600.38871,7555.831299,82.866131,78.771569,419.205132,6.62929,24128.47253,763.538278,386.838597,25933.58933,11055.70671,4.874478,11.11381,1780.15947,17.158164,110.553167,6.82427,35.486202,115.037688,27.882016,10.138915,1221.544258,19.497913,22.032642,202.778297,12.283685,6.82427,259.712203,4.679499,3.119666,156.763222,2147.890111,11.11381,5.849374,36.461098,22.227621,110.748147,7.994144,11.11381,8.96904,613.989285,27.102099,2014.134427,27.102099,267.901327,9.553977,6.044353,268.096306,106.263627,124.201707,138.630162,24.76235,5.069457,123.031832,46.989971,76.041861,531.708091,10.723852,134.145642,26.322183,5.654395,6.62929,8967.480211,3252.836849,2708.065156,696.660436,0.389958,41.530555,2.729708,46.600012,990.688967,65.707967,112.30798,8.579082,118.742291,74.09207,180.550676,18.717997,7.799165,3.509624,50.304616,109.773251,2.729708,837.24039,849.524075,522.739051,22292.15907,262.441911,5774.891913,8.189124,164.757366,206.092942,46455.53286
TCGA.BF.A1PX.01,13740.46275,27700.04999,13996.43118,49402.68216,3080.541241,684.133797,2626.003367,24.43335,7066.667753,504.955898,1129.751559,5414.120072,2111.351696,40975.89127,17.064562,1.939155,940.102224,87.649795,27489.06995,71598.24747,114.0223,5.429633,1704.129197,2009.739986,1545.506339,1552.875127,7.756619,276.523468,226.881106,101.611709,59.725966,40.334419,3603.725194,35.680447,50.805855,228.43243,1075.067395,200.120771,1757.262038,779.540211,38686.13733,990.908079,1828.622933,870.680484,17076.97242,244.72133,25.209012,4856.806996,4736.967232,283.504425,2098.553274,53.908502,1241.059042,151.641902,714.772442,8944.545216,3671.983441,2157.89141,8.532281,50.418024,15.513238,3515.299737,1828.622933,328.492815,387.055289,808.239701,145.824437,1252.693971,81.4445,22.882026,31.026476,11.247098,332.371125,451.047396,1218.952678,55.459826,794.277787,1326.381851,1562.183069,23.657688,2543.783206,34991.6597,32.5778,97607.35452,237.352542,5.817464,11.247098,10.859267,8.14445,197374.1518,278.462623,69.033909,289.321889,11.634929,5338.880867,1878.653125,10.471436,1361.286637,14863.23335,2021.374915,388.994444,530.552741,1016.504922,9022.111406,6437.605951,75.627035,81.056669,566.621019,15.513238,6441.48426,269.15468,308.325606,12338.8417,14133.33551,34.129124,3.102648,1530.380931,6.980957,226.493275,28.311659,91.528104,148.539254,22.106364,8.920112,409.161653,79.117514,6.980957,29.087321,579.41944,20.55504,57.398981,7.368788,8.14445,24.821181,814.057166,6.205295,16.676731,188.873673,8.532281,30.638645,72.524388,84.159316,28.69949,272.645158,10.859267,1062.268974,7.756619,1033.181653,10.471436,13.961914,419.633089,68.646078,230.759416,61.27729,112.470976,6.205295,320.348365,104.326526,152.805395,3409.034057,24.045519,1446.221615,31.414307,9.695774,53.520671,18511.17128,1158.838881,2264.932752,988.581093,5.817464,157.847197,17.064562,56.623319,1387.271311,134.189509,587.951721,27.535997,421.184412,146.600099,61.27729,46.539714,28.311659,34.904786,121.003257,25.596843,46.151883,373.093375,363.397601,971.516531,39560.69613,142.333959,4976.646759,13.186252,75.627035,280.401777,99058.61793
TCGA.BF.A1PZ.01,16199.3554,32326.55999,16282.58332,15234.15111,1126.121575,543.077107,1591.958387,44.308386,18481.23727,1138.246505,991.849203,3877.881897,4266.478416,95355.38843,48.350029,26.794598,549.663488,217.949357,24988.88174,122425.2674,68.258865,11.077096,725.400126,392.787852,1129.265075,197.44176,20.357907,192.352283,127.835681,134.122681,68.258865,17.663478,4871.527386,51.343839,63.91784,213.458642,116.758584,37.722004,2317.657895,799.197539,9938.251175,202.231855,1971.573476,440.8385,13427.08748,226.032644,25.297693,668.068668,2616.739499,514.037151,302.823866,274.382673,276.178959,319.439511,3285.706309,4917.182987,5246.801451,849.343854,11.825549,48.350029,9.13112,270.341029,62.420935,533.347225,374.076541,989.005084,280.070911,470.327527,91.610581,65.714126,63.169388,5.837929,234.864383,1234.04842,317.194154,8.682049,152.534612,228.876763,245.043336,158.222851,29.039956,17.663478,1078.370308,225281.347,659.835691,3.592572,6.736072,9.729882,9.430501,97028.17968,285.75915,158.971303,205.225665,23.651098,6472.616894,683.93586,13.172763,2035.341626,14818.6103,1391.373127,437.994381,971.042225,464.190217,2444.445742,6260.655156,268.544743,257.916718,323.930226,9.13112,24185.19349,520.623533,790.814872,25757.8418,8836.678841,14.070906,5.089477,1306.797999,10.927406,215.554309,3.742262,172.293757,58.828364,20.806978,27.24367,16233.33515,55.834554,7.185144,80.982556,198.339903,21.25605,279.62184,32.482837,4.640405,749.500296,1166.238627,11.376477,16.465954,115.261679,26.345527,70.204841,15.11874,14.969049,10.777715,384.554875,34.578504,240.552621,4.041643,192.202592,3.592572,7.484525,727.495793,56.283625,377.369731,155.378731,10.927406,22.902645,138.314015,46.703434,81.581318,1969.178428,36.225099,525.8627,44.458076,19.459764,17.813169,5474.929761,894.101311,3387.495844,438.293762,3.293191,71.701746,12.27462,225.134501,565.830061,182.921782,64.516602,36.823861,43.110862,47.900958,233.367478,95.203153,32.333146,24.998312,34.279123,52.391672,34.428813,9859.064904,9790.356968,2666.287052,51509.24691,177.383234,14077.0436,5.837929,87.868319,136.966801,23693.60991
TCGA.BF.A1Q0.01,10114.61088,20268.09128,10174.93361,8981.28173,848.324435,713.261497,1971.042321,32.064472,11995.91882,1077.850693,1101.610698,23668.77077,3672.766144,41455.09498,18.685052,167.35809,732.638588,103.690505,11225.67944,28096.20541,50.980204,6.68971,1424.562216,1752.934707,4203.214014,362.859099,13.26408,138.869153,101.499049,68.742538,24.106024,7.497089,1785.806558,90.311085,46.135931,508.417962,214.64742,109.688176,2928.016875,1826.175497,25849.27022,1152.590902,531.139908,968.047177,18997.04638,422.951149,77.393025,2984.072031,5257.420042,116.493226,950.054164,215.800818,674.622654,564.473118,750.054902,3152.58352,1507.376213,603.111961,10.380585,38.408163,12.687381,949.246785,192.040814,127.68119,844.518221,935.521345,683.042462,1341.056181,54.786418,127.56585,146.135562,17.185634,156.170127,487.195434,823.065013,29.873015,558.706127,793.999376,919.835129,63.552245,144.290125,1164.932263,291.579085,330042.8418,178.200034,5.190292,18.339033,182.352268,4.728933,115799.3419,1205.877902,371.394246,420.413673,27.796899,8979.782312,945.90193,16.608935,3218.903921,17806.73935,1969.542904,512.916215,2651.431967,868.278226,4982.449892,16719.77681,297.692096,276.354228,525.834276,18.569712,14493.25677,715.914313,855.129485,17111.35553,5836.771998,10.380585,35.293987,2307.02724,12.918061,81.775938,2.998836,34.717288,45.674572,24.336704,14.186799,22890.11159,181.660229,6.113011,53.40234,323.066858,16.147576,200.575961,266.435003,3.921554,91.464484,827.332587,7.381749,14.417479,109.572837,49.596126,28.258258,29.180976,28.373598,8.304468,305.881224,42.445057,414.646682,2.768156,361.821041,2.537476,5.882331,318.914625,183.505666,305.535204,2058.585251,33.33321,14.302139,373.124344,112.110313,501.266893,1487.768442,59.169332,251.671505,48.673407,26.297481,89.734386,83.160016,7.843108,3697.794887,633.215656,7.381749,238.868784,15.224857,174.970519,913.952797,171.394984,671.162459,10.726604,381.544151,29.757676,213.378682,33.44855,25.951461,18.223693,26.75884,45.674572,44.751853,26504.8618,26511.89753,1844.86055,15366.84063,190.310716,14432.70336,15.570877,62.052827,219.722372,54021.36924
TCGA.BF.A3DJ.01,16712.76405,33860.57538,17208.99796,37588.29282,255.635651,1445.663683,6539.709602,24.889475,11196.63411,1502.183533,1987.009768,33218.11581,2147.235765,38955.13983,31.111844,3.111184,1730.337055,292.451333,2872.66026,34799.63454,208.967885,12.963268,2599.394564,2484.799272,644.533701,211.042008,153.485097,335.489384,309.044317,140.003298,65.853403,14.518861,1967.824131,11.926207,89.187286,364.008574,176.81898,33.185967,12465.99735,148.29979,50900.01379,494.159788,2388.871086,616.533041,19813.57783,464.085006,39.408336,856.612771,17695.89832,1444.108091,948.39271,76.742548,1496.479695,424.158139,641.422516,7063.944173,2904.809165,1438.922784,3.629715,296.081048,49.77895,1070.765963,597.347404,272.747165,623.273941,1361.661704,189.263717,4306.397736,173.707795,18.148576,29.037721,21.25976,114.595292,742.017479,1194.176278,13.481799,144.670074,239.042668,330.304077,24.370944,695.349713,15358.88031,31.630375,61006.69631,836.908603,10.370615,33.185967,3.111184,9.852084,100320.1409,930.244135,246.820629,639.348394,10.889145,10029.93997,1526.035947,13.481799,5506.277852,21259.24151,3617.270392,486.381827,1675.891328,1095.136908,6046.068344,13287.86856,84.001979,100.076431,353.119429,11.926207,1995.824791,1481.960834,401.861318,64237.14277,9811.119995,10.889145,2.592654,2423.612645,21.778291,663.200807,34.741559,843.649502,107.335862,54.445727,66.371934,134.817991,142.077421,19.185637,31.111844,211.560539,31.111844,134.29946,64.297811,15.555922,16.592983,1817.968749,6.7409,44.075112,747.721317,4.148246,31.630375,79.853733,80.890794,15.037391,59.112504,11.407676,2514.355523,12.444738,179.411634,39.408336,10.889145,551.7167,88.668755,375.416251,166.448365,22.815352,4.148246,697.942366,151.929505,69.483118,2017.603081,37.852743,519.567794,108.891454,15.555922,64.816342,17960.34899,799.055859,3853.201875,592.162097,14.00033,316.822278,14.518861,23.852414,3162.518939,211.560539,99.03937,43.038051,198.597271,234.894422,95.409655,75.186956,37.852743,21.778291,346.37853,35.26009,59.631034,229.709115,257.191243,978.986024,36467.22938,511.789833,9329.404945,7.777961,262.376551,40.963928,181698.3541
